,Close price(jan 10),Close price (Jan 11),Close price(Jan 12),"Close price(
Jan 13)",Close price(Jan14),Close price(Jan17),Close price(Jan18),Close price(Jan19),Close price jan 20,Close price jan 21,Coupon %,Maturity date,issue date,D for jan 10,Periods left,Times to maturity
"Bonds 2020(22)
CA135087K866",100.35,100.34,100.34,100.32,100.31,100.28,100.27,100.27,100.26,100.27,0.015,4/30/2022,1/26/2020,71,1,3M
"Bonds 2020(22)
CA135087L369",99.55,99.54,99.52,99.52,99.5,99.43,99.4,99.42,99.43,99.46,0.0025,10/31/2022,8/16/2020,71,2,9M
"Bonds 2021(23)
CA135087L856",99.08,99.07,99.05,99.04,99.01,98.9,98.85,98.87,98.87,98.92,0.0025,4/30/2023,2/4/2021,71,3,1Y 3M
"Bonds 2021(23)
CA135087M763",98.96,98.955,98.93,98.91,98.88,98.73,98.66,98.65,98.66,98.71,0.005,10/31/2023,8/8/2021,71,4,1Y 9M
"Bonds 2020(24)
CA135087L690",97.96,97.96,97.93,97.9,97.86,97.68,97.61,97.6,97.6,97.71,0.0025,3/31/2024,10/15/2020,102,5,2Y 2M
"Bonds 2021(24)
CA135087M508",98.56,98.56,98.53,98.485,98.44,98.205,98.115,98.125,98.14,98.275,0.0075,9/30/2024,7/11/2021,102,6,2Y 8M
"Bonds 2019
CA135087K528",99.64,99.67,99.61,99.59,99.49,99.25,99.12,99.11,99.1,99.26,0.0125,2/28/2025,10/10/2019,132,7,3Y 1M
"Bonds 2020(25)
CA135087K940",96.66,96.72,96.77,96.77,96.68,96.43,96.26,96.15,96.19,96.31,0.005,8/31/2025,4/2/2020,132,8,3Y 7M
"Bonds 2020 (26)
CA135087L518",95.11,95.17,95.12,95.14,95.04,94.75,94.53,94.5,94.52,94.7,0.0025,2/28/2026,10/8/2020,132,9,4Y 1M
"Bonds 2021(26)
CA135087L930",97.66,97.7,97.67,97.54,97.64,97.17,97.16,96.96,97,97.05,0.01,8/31/2026,4/15/2021,132,10,4Y 6M